side,A_hat,k_hat,used_points,tick,window,sigma_price_per_sqrt_sec,sigma_ticks_per_sqrt_sec,sigma_n_increments,sigma_total_seconds
ask,7.325019205065986,0.1729883753327986,7,1e-05,global,0.00065041082397721,65.04108239772098,713814,86.39797101200004
bid,3.792394636036747,0.17982830522319684,7,1e-05,global,0.00065041082397721,65.04108239772098,713814,86.39797101200004
